## Data Flow Diagram
# label: CamperPlus DFD
# style: whiteSpace=wrap;html=1;rounded=1;fillColor=#ffffff;strokeColor=#000000;
# namespace: csvimport-
# connect: {"from":"source", "to":"id", "fromlabel":"flow", "invert":true, "style":"endArrow=blockThin;endFill=1;fontSize=11;orthogonal=1;"}
# labels: {"label1" : "%flow%"}
# labelname: labeltype
# styles:{"process": "shape=ellipse;perimeter=ellipsePerimeter;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","externalEntity": "shape=rectangle;whiteSpace=wrap;html=1;fillColor=#ffffff;strokeColor=#000000;align=center;verticalAlign=middle;fontColor=#232F3E;","dataStore": "html=1;dashed=0;whiteSpace=wrap;shape=partialRectangle;right=0;left=0;"}
# stylename: type
# width: auto
# height: auto
# padding: 5
# ignore: id,refs
# nodespacing: 60
# levelspacing: 120
# edgespacing: 40
# layout: horizontal
id,label,type,source,flow
1,"User","externalEntity",,""
2,"View Thumbnail Sequences","process","1","Thumbnail Sequences"
3,"Thumbnail Sequences","dataStore","2","Video Segments Data"
4,"Get Info about Similar Items","process","1","Similar Video Items and Segments"
5,"Similar Video Items and Segments","dataStore","4","Video Catalog Data"
6,"Annotate News Video Segments","process","5","News Video Segments Data"
7,"Extract Topic for Each Segment","process","6","Topics Data"
8,"Recommend Content from Similar Profiles","process","1","User Profiles Data"
9,"Content Recommendations","dataStore","8","Recommendations Data"
10,"Recommend Content based on Relevant News Events","process","1","News Events Data"
11,"News Events in User's Area","dataStore","10","Geolocation Data"
